,model,accuracy,precision_score,recall_score,f1_score
0,logistic regression,0.8019872249822569,0.6470588235294118,0.5588235294117647,0.599713055954089
1,Decision Tree,0.7842441447835344,0.5930851063829787,0.5962566844919787,0.5946666666666667
2,Naive bayes,0.6479772888573456,0.4193121693121693,0.8475935828877005,0.5610619469026549
